,unique(response_updated_cluster$localite_final_labels_admin2),localites_visitees_labels,admin2,"unique(subset(df_hh, !is_in(df_hh$localite_final_labels_admin2, popsize_village$VillageAll_admin2))$localite_final_labels_admin2)",Rural vs. Urbain,MP comments,X,Y,UrbanRural,,UrbanRural_final
52,campelevagebambari,CAMP ELEVAGE,Bambari,campelevage _ Bambari,#N/A,,20.65418,5.76485,urban,quartier Bambari,urban
53,ctrobambari,CTRO,Bambari,ctro _ Bambari,Urban,,,,,,Urban
54,kidjigra1bambari,KIDJIGRA 1,Bambari,kidjigra1 _ Bambari,#N/A,,20.65418,5.76485,urban,quartier Bambari,urban
55,wangaye1bambari,WANGAYE 1,Bambari,wangaye1 _ Bambari,Urban,,,,,,Urban
56,gbiassangobambari,GBIASSANGO,Bambari,gbiassango _ Bambari,Urban,,,,,,Urban
57,aviationbambari,AVIATION,Bambari,aviation _ Bambari,#N/A,,20.657,5.803,rural,,rural
58,sitealternatif(misca)bambari,Site alternatif (Misca),Bambari,sitealternatif(misca) _ Bambari,#N/A,,20.65418,5.76485,urban,quartier Bambari,urban
59,minuscapk8bambari,MINUSCA PK 8,Bambari,minuscapk8 _ Bambari,#N/A,,20.65418,5.76485,urban,quartier Bambari,urban
60,maloum1bambari,MALOUM 1,Bambari,maloum1 _ Bambari,Rural,,,,,,Rural
61,ngalingoubambari,NGALINGOU,Bambari,ngalingou _ Bambari,#N/A,,20.63261,5.8154,rural,,rural
62,awal1bambari,AWAL 1,Bambari,awal1 _ Bambari,Urban,,,,,,Urban
63,awal2bambari,AWAL 2,Bambari,awal2 _ Bambari,Urban,,,,,,Urban
64,adoumbambari,Adoum,Bambari,adoum _ Bambari,Rural,,,,,,Rural
65,kapabandabambari,Kapabanda,Bambari,kapabanda _ Bambari,Rural,,,,,,Rural
66,mblebandabambari,Mblebanda,Bambari,mblebanda _ Bambari,Rural,,,,,,Rural
67,yatigazabambari,Yatigaza,Bambari,yatigaza _ Bambari,Rural,,,,,,Rural
68,ngakobobambari,Ngakobo,Bambari,ngakobo _ Bambari,#N/A,,20.730846,5.339652,rural,,rural
69,bouma1bambari,Bouma 1,Bambari,bouma1 _ Bambari,Rural,,,,,,Rural
70,camp-mawabouar,Camp-Mawa,Bouar,camp-mawa _ Bouar,Urban,,,,,,Urban
71,bouarbouar,Bouar,Bouar,bouar _ Bouar,Urban,,,,,,Urban
72,kaetabouar,Kaeta,Bouar,kaeta _ Bouar,Rural,,,,,,Rural
73,koumbebouar,Koumbe,Bouar,koumbe _ Bouar,Rural,,,,,,Rural
74,beiya-gbakoundebouar,B<e9>a ,Bouar,beiya-gbakounde _ Bouar,Rural,,,,,,Rural
75,garouabouar,Garoua,Bouar,garoua _ Bouar,Rural,,,,,,Rural
76,pate-mamadoubouar,Pate-Mamadou,Bouar,pate-mamadou _ Bouar,Rural,,,,,,Rural
77,mboryangabouar,Mboryanga,Bouar,mboryanga _ Bouar,Rural,,,,,,Rural
78,kassa-zoyabouar,Kassa-Zoya,Bouar,kassa-zoya _ Bouar,Rural,,,,,,Rural
79,groupementdouanebouar,Groupement Douane,Bouar,groupementdouane _ Bouar,Rural,,,,,,Rural
80,nzerewerebocaranga,Gonon 1,Bocaranga,nzerewere _ Bocaranga,Urban,,,,,,Urban
81,boborobocaranga1,Boboro,Bocaranga,boboro _ Bocaranga,Rural,,,,,,Rural
82,mbike2bocaranga,MBIKE 2,Bocaranga,mbike2 _ Bocaranga,Rural,,,,,,Rural
83,nzapaahonyorobocaranga,Nzapa a on yoro,Bocaranga,nzapaahonyoro _ Bocaranga,Rural,,,,,,Rural
84,boborobocaranga2,BOBORO,Bocaranga,boboro _ Bocaranga,Rural,,,,,,Rural
85,ecolemixte1bocaranga,ECOLE MIXTE 1,Bocaranga,ecolemixte1 _ Bocaranga,Urban,,,,,,Urban
86,kaidomonbocaranga,KAIDOMON,Bocaranga,kaidomon _ Bocaranga,Urban,,,,,,Urban
87,koyabocaranga,Koya,Bocaranga,koya _ Bocaranga,Rural,,,,,,Rural
88,bossangoabossangoa,Bossangoa,Bossangoa,bossangoa _ Bossangoa,Urban,,,,,,Urban
89,gbelekotabossangoa,Gbele Kota,Bossangoa,gbelekota _ Bossangoa,Rural,,,,,,Rural
90,bodiguibossangoa,Bodigui,Bossangoa,bodigui _ Bossangoa,Rural,,,,,,Rural
91,gptgbakorabossangoa,Gpt Gbakora,Bossangoa,gptgbakora _ Bossangoa,Rural,,,,,,Rural
92,bedobobossangoa,Bedobo,Bossangoa,bedobo _ Bossangoa,Rural,,,,,,Rural
93,arabebossangoa,Arabe,Bossangoa,arabe _ Bossangoa,Rural,,,,,,Rural
94,gbehinnibossangoa,Gbehinni,Bossangoa,gbehinni _ Bossangoa,Rural,,,,,,Rural
95,,,,bogale _ Bossangoa,#N/A,,17.26283,7.256756,rural,"Markunda, non bossangoa",rural
96,lazarekaga-bandoro,Site lazare,Kaga_Bandoro,lazare _ Kaga-Bandoro,#N/A,,19.191543,6.990379,urban,,urban
97,minuscakaga-bandoro,Site munuska,Kaga_Bandoro,minusca _ Kaga-Bandoro,#N/A,,19.191543,6.990379,urban,,urban
98,kaga-bandorokaga-bandoro,B<e9>b<e9>,Kaga_Bandoro,kaga-bandoro _ Kaga-Bandoro,Urban,,,,,,Urban
99,mbellakaga-bandoro,Site Mbella,Kaga_Bandoro,mbella _ Kaga-Bandoro,#N/A,,19.191543,6.990379,urban,,urban
100,gobongo2kaga-bandoro,Quartier gobongo 2,Kaga_Bandoro,gobongo2 _ Kaga-Bandoro,#N/A,,19.191543,6.990379,urban,,urban
101,baipo1kaga-bandoro,6 arrd quartier ba<ef>p<f4>1,Kaga_Bandoro,baipo1 _ Kaga-Bandoro,#N/A,,19.191543,6.990379,urban,,urban
102,menguebokenguekaga-bandoro,Menguel Bokengue,Kaga_Bandoro,menguebokengue _ Kaga-Bandoro,Rural,,,,,,Rural
103,bakabakaga-bandoro,Commune nanaouta (Bakaba),Kaga_Bandoro,bakaba _ Kaga-Bandoro,Urban,,,,,,Urban
104,patcho1kaga-bandoro,Patcho,Kaga_Bandoro,patcho1 _ Kaga-Bandoro,Rural,,,,,,Rural
105,grevai2kaga-bandoro,Grevai 1,Kaga_Bandoro,grevai2 _ Kaga-Bandoro,Rural,,,,,,Rural
106,zindikaga-bandoro,Zindi,Kaga_Bandoro,zindi _ Kaga-Bandoro,Rural,,,,,,Rural
107,kabakaga-bandoro,Commune ngrevail(Site kaba),Kaga_Bandoro,kaba _ Kaga-Bandoro,Rural,,,,,,Rural
108,bakoutekaga-bandoro,Bakout<e9>,Kaga_Bandoro,bakoute _ Kaga-Bandoro,#N/A,,19.191543,6.990379,urban,,urban
109,boubou1kaga-bandoro,Boubou2,Kaga_Bandoro,boubou1 _ Kaga-Bandoro,Rural,,,,,,Rural
110,fah-villagekaga-bandoro,Fah village,Kaga_Bandoro,fah-village _ Kaga-Bandoro,Rural,,,,,,Rural
111,botokonkaga-bandoro,Village botokon,Kaga_Bandoro,botokon _ Kaga-Bandoro,Rural,,,,,,Rural
112,kangakaga-bandoro,Kanga,Kaga_Bandoro,kanga _ Kaga-Bandoro,Rural,,,,,,Rural
113,ganamakaga-bandoro,Ganama,Kaga_Bandoro,ganama _ Kaga-Bandoro,#N/A,,19.191543,6.990379,urban,,urban
114,yanendjikaga-bandoro,Yanindji,Kaga_Bandoro,yanendji _ Kaga-Bandoro,#N/A,,19.191543,6.990379,urban,,urban
115,typoyeurkaga-bandoro,Tipoyeur,Kaga_Bandoro,typoyeur _ Kaga-Bandoro,#N/A,,19.191543,6.990379,urban,,urban
116,batayangakoui,BATAYANGA,Koui,batayanga _ Koui,Urban,,,,,,Urban
117,djoguelkoui,DJOGUEL,Koui,djoguel _ Koui,Urban,,,,,,Urban
118,lamordekoui,LAMORDE,Koui,lamorde _ Koui,Urban,,,,,,Urban
119,bomangokoui,Bomango,Koui,bomango _ Koui,Rural,,,,,,Rural
120,mbilagbikoui,MBILAGBI,Koui,mbilagbi _ Koui,Urban,,,,,,Urban
121,populaire1koui,Populaire 1,Koui,populaire1 _ Koui,Urban,,,,,,Urban
122,kobadjabakala,Kobadja,Bakala,kobadja _ Bakala,Rural,,,,,,Rural
123,koudoukoubakala,Koudoukou,Bakala,koudoukou _ Bakala,Rural,,,,,,Rural
124,bakalabakala,Bakala,Bakala,bakala _ Bakala,Rural,,,,,,Rural
125,banguelabakala,GBNGUELA,Bakala,banguela _ Bakala,#N/A,,20.399,6.0531,rural,Banguela,rural
126,badakoubangassou,Badakou,Bangassou,badakou _ Bangassou,Urban,,,,,,Urban
127,dingadiguibangassou,Dingadigui,Bangassou,dingadigui _ Bangassou,Rural,,,,,,Rural
128,boymassebangassou,Boymasse,Bangassou,boymasse _ Bangassou,Rural,,,,,,Rural
129,bambarassabangassou,Bambarassa,Bangassou,bambarassa _ Bangassou,Rural,,,,,,Rural
130,youngofongo1bangassou,Yongofongo 1,Bangassou,youngofongo1 _ Bangassou,Rural,,,,,,Rural
131,ngbandabangassou,Ngbanda,Bangassou,ngbanda _ Bangassou,Rural,,,,,,Rural
132,makembebangassou,Makembe,Bangassou,makembe _ Bangassou,Rural,,,,,,Rural
133,gbombebangassou,Gbombe,Bangassou,gbombe _ Bangassou,Rural,,,,,,Rural
134,bondelebangassou,Bondony,Bangassou,bondele _ Bangassou,Rural,,,,,,Rural
135,bondobangassou,MBONDO,Bangassou,bondo _ Bangassou,Rural,,,,,,Rural
136,bendenana-bakassa,Bende,Nana_Bakassa,bende _ Nana-Bakassa,Rural,,,,,,Rural
137,bokpata1nana-bakassa,Bokpata 1,Nana_Bakassa,bokpata1 _ Nana-Bakassa,Rural,,,,,,Rural
138,bomboimonana-bakassa,Bomboimo,Nana_Bakassa,bomboimo _ Nana-Bakassa,Rural,,,,,,Rural
139,bendouinana-bakassa,Bendoui,Nana_Bakassa,bendoui _ Nana-Bakassa,Rural,,,,,,Rural
140,anafionana-bakassa,Anafio,Nana_Bakassa,anafio _ Nana-Bakassa,Urban,,,,,,Urban
141,gptkoukinana-bakassa,Gpt Kouki,Nana_Bakassa,gptkouki _ Nana-Bakassa,Rural,,,,,,Rural
142,bingba3rafai,Bengba 3(site A),Rafai,bingba3 _ Rafai,#N/A,,23.933396,4.969394,urban,site Rafai,urban
143,kpeterafai,Kpete,Rafai,kpete _ Rafai,Urban,,,,,,Urban
144,ngonzarafai,Ngonza,Rafai,ngonza _ Rafai,Urban,,,,,,Urban
145,samborarafai,Sambora,Rafai,sambora _ Rafai,Rural,,,,,,Rural
146,sandourafai,sandou (site b),Rafai,sandou _ Rafai,#N/A,,23.933396,4.969394,urban,site Rafai,urban
147,aimrafai,AIM (siteA),Rafai,aim _ Rafai,#N/A,,23.933396,4.969394,urban,site Rafai,urban
148,rafairafai,(Rafai) quartier mogba,Rafai,rafai _ Rafai,Urban,,,,,,Urban
149,loungbarafai,LOUNGBA,Rafai,loungba _ Rafai,Urban,,,,,,Urban
150,benengaoundaye,B<e8>ne,Ngaoundaye,bene _ Ngaoundaye,#N/A,,15.7733,7.2722,rural,,rural
151,kouleongaoundaye,Kouleo,Ngaoundaye,kouleo _ Ngaoundaye,Rural,,,,,,Rural
152,kodingaoundaye,Kodi,Ngaoundaye,kodi _ Ngaoundaye,Urban,,,,,,Urban
153,bokongaoundaye,Boko,Ngaoundaye,boko _ Ngaoundaye,Rural,,,,,,Rural
154,baclimngaoundaye,Bac Lim,Ngaoundaye,baclim _ Ngaoundaye,Urban,,,,,,Urban
155,bouabouroungaoundaye,Bouabourou,Ngaoundaye,bouabourou _ Ngaoundaye,Rural,,,,,,Rural
156,mbereguilingaoundaye,Mbereguili,Ngaoundaye,mbereguili _ Ngaoundaye,Rural,,,,,,Rural
157,gbazaippy,Gbaza,Ippy,gbaza _ Ippy,Urban,,,,,,Urban
158,ippyippy,Ippy,Ippy,ippy _ Ippy,Urban,,,,,,Urban
159,domoippy,Domo,Ippy,domo _ Ippy,Rural,,,,,,Rural
160,ngoubondoippy,Ngoubondo,Ippy,ngoubondo _ Ippy,Rural,,,,,,Rural
161,panengaippy,PANANGA,Ippy,panenga _ Ippy,#N/A,,21.39,6.27,rural,"coord int, axe IPPY BRIA",rural
162,berberatiberberati,Berberati,Berberati,berberati _ Berberati,Urban,,,,,,Urban
163,donlogoberberati,Donlogo,Berberati,donlogo _ Berberati,Urban,,,,,,Urban
164,begoberberati,Bego,Berberati,bego _ Berberati,Rural,,,,,,Rural
165,aradiberberati,Aradi,Berberati,aradi _ Berberati,Urban,,,,,,Urban
166,ouattaberberati,Ouatta,Berberati,ouatta _ Berberati,Urban,,,,,,Urban
167,mbresmbres,Bangora 1,Mbres,mbres _ Mbres,#N/A,,19.796746,6.668118,urban,,urban
168,ouande-linguirimbres,Linguiri,Mbres,ouande-linguiri _ Mbres,Rural,,,,,,Rural
169,bozoumbres,Gbouzou,Mbres,bozou _ Mbres,Rural,,,,,,Rural
170,blakadjambres,Blakadja1,Mbres,blakadja _ Mbres,Rural,,,,,,Rural
171,balekete(azene)mbres,Balekete-Azene,Mbres,balekete(azene) _ Mbres,Rural,,,,,,Rural
172,maorkambres,Maorka,Mbres,maorka _ Mbres,Rural,,,,,,Rural
173,ndibambres,Ndiba,Mbres,ndiba _ Mbres,Rural,,,,,,Rural
174,ngoumbetibimbo,Ngoumbeti,Bimbo,ngoumbeti _ Bimbo,Urban,,,,,,Urban
175,ndiabimbo,Ndia,Bimbo,ndia _ Bimbo,Rural,,,,,,Rural
176,sebokele3bimbo,Sebokele 3,Bimbo,sebokele3 _ Bimbo,Rural,,,,,,Rural
177,zilabimbo,Zila,Bimbo,zila _ Bimbo,Urban,,,,,,Urban
178,bogbaya1bimbo,Bogbaya 1,Bimbo,bogbaya1 _ Bimbo,Rural,,,,,,Rural
179,kpanba1bimbo,Kpanba 1,Bimbo,kpanba1 _ Bimbo,Urban,,,,,,Urban
180,guerengou-pontbimbo,Guerengou-Pont,Bimbo,guerengou-pont _ Bimbo,Rural,,,,,,Rural
181,boherebimbo,Bohere,Bimbo,bohere _ Bimbo,Rural,,,,,,Rural
182,mindoukotagrimari,Mindjoukota,Grimari,mindoukota _ Grimari,Rural,,,,,,Rural
183,guissibandagrimari,Guissibanda,Grimari,guissibanda _ Grimari,Rural,,,,,,Rural
184,goussoumagrimari,Goussouma,Grimari,goussouma _ Grimari,Urban,,,,,,Urban
185,bakoagrimari,Bakoa,Grimari,bakoa _ Grimari,Rural,,,,,,Rural
186,ndjangalagrimari,Ndjangala,Grimari,ndjangala _ Grimari,Rural,,,,,,Rural
187,kandjia2grimari,Kandjia 2,Grimari,kandjia2 _ Grimari,Urban,,,,,,Urban
188,gouhoutougrimari,Gouhoutou,Grimari,gouhoutou _ Grimari,Rural,,,,,,Rural
189,bougoua1grimari,Bougoua 1,Grimari,bougoua1 _ Grimari,Rural,,,,,,Rural
190,bakongosibut,Bakongo,Sibut,bakongo _ Sibut,Urban,,,,,,Urban
191,bindisibut,Bindi,Sibut,bindi _ Sibut,Rural,,,,,,Rural
192,boakana2sibut,Boakana 2,Sibut,boakana2 _ Sibut,Rural,,,,,,Rural
193,boambali1sibut,Boambali 1,Sibut,boambali1 _ Sibut,Rural,,,,,,Rural
194,banga1sibut,Banga 1,Sibut,banga1 _ Sibut,Rural,,,,,,Rural
195,boakanasibut,Boakana,Sibut,boakana _ Sibut,Rural,,,,,,Rural
196,bokoute2sibut,Bokoute 2,Sibut,bokoute2 _ Sibut,Urban,,,,,,Urban
197,bokossinsibut,Bokossin,Sibut,bokossin _ Sibut,Urban,,,,,,Urban
198,djaindola2sibut,Djaindola 2,Sibut,djaindola2 _ Sibut,Rural,,,,,,Rural
199,bango2ndjoukou,Bango 2,Ndjoukou,bango2 _ Ndjoukou,Rural,,,,,,Rural
200,djouda1ndjoukou,Djouda 1,Ndjoukou,djouda1 _ Ndjoukou,Rural,,,,,,Rural
201,gbiangorandjoukou,Gbiangora,Ndjoukou,gbiangora _ Ndjoukou,Rural,,,,,,Rural
202,guiguibandandjoukou,Guigui Banda,Ndjoukou,guiguibanda _ Ndjoukou,Rural,,,,,,Rural
203,dekombimbindjoukou,Deko Mbimbi,Ndjoukou,dekombimbi _ Ndjoukou,Rural,,,,,,Rural
204,mouroufleuvendjoukou,Mourou Fleuve,Ndjoukou,mouroufleuve _ Ndjoukou,Rural,,,,,,Rural
205,campcotonafndjoukou,Camp Cotonaf,Ndjoukou,campcotonaf _ Ndjoukou,Urban,,,,,,Urban
206,labambandjoukou,La bamba,Ndjoukou,labamba _ Ndjoukou,Rural,,,,,,Rural
207,pk2kpabendjoukou,Kangamote 2km de kpabe,Ndjoukou,pk2kpabe _ Ndjoukou,#N/A,,19.081523,5.657561,rural,"Coord de Kpape, pk2 de Kangamote coord inc",rural
208,kassiandjoukou,KASSIA,Ndjoukou,kassia _ Ndjoukou,Rural,,,,,,Rural
209,unknown50baboua,Alime,Baboua,unknown50 _ Baboua,Rural,,,,,,Rural
210,ngamongobaboua,Ngamongo,Baboua,ngamongo _ Baboua,Rural,,,,,,Rural
211,belangababoua,Belanga,Baboua,belanga _ Baboua,Rural,,,,,,Rural
212,captarababoua,Captara,Baboua,captara _ Baboua,Rural,,,,,,Rural
213,gargazallobaboua,Garga Zallo,Baboua,gargazallo _ Baboua,Rural,,,,,,Rural
214,mayo-lara1baboua,Mayo-Lara 1,Baboua,mayo-lara1 _ Baboua,Rural,,,,,,Rural
215,bondibababoua,Bondiba,Baboua,bondiba _ Baboua,Rural,,,,,,Rural
216,broussebaboua,Brousse,Baboua,brousse _ Baboua,Rural,,,,,,Rural
217,gbabouababoua,Gbaboua,Baboua,gbaboua _ Baboua,Rural,,,,,,Rural
218,nadziboroabba,Nadziboro,Abba,nadziboro _ Abba,Rural,,,,,,Rural
219,ngbafio1abba,Ngbafio 1,Abba,ngbafio1 _ Abba,Rural,,,,,,Rural
220,unknown39abba,Bondjoukombo (Lami-pong 5-pk),Abba,unknown39 _ Abba,Rural,,,,,,Rural
221,sandabogueraabba,Sanda Boguera,Abba,sandaboguera _ Abba,Rural,,,,,,Rural
222,gbagazaabba,Gbagaza,Abba,gbagaza _ Abba,Rural,,,,,,Rural
223,koeabba,Koe,Abba,koe _ Abba,Rural,,,,,,Rural
224,abboboyafeabba,Abbo Boyafe,Abba,abboboyafe _ Abba,Rural,,,,,,Rural
225,gbadingabba,Gbanding,Abba,gbading _ Abba,Rural,,,,,,Rural
226,gougbereobo,Gougbere,Obo,gougbere _ Obo,#N/A,,26.483092,5.418046,rural,,rural
227,gougbere-bazimaobo,GOUGBERE-BAZIMA,Obo,gougbere-bazima _ Obo,Urban,,,,,,Urban
228,oboobo,NAIROBI 1,Obo,obo _ Obo,Urban,,,,,,Urban
229,boyoobo,Boyo,Obo,boyo _ Obo,#N/A,,26.494639,5.403851,rural,,rural
230,gamboobo,Gambo,Obo,gambo _ Obo,#N/A,,26.494639,5.403851,urban,,urban
231,nguilinguiliobo,Nguilinguili,Obo,nguilinguili _ Obo,#N/A,,26.494639,5.403851,urban,,urban
232,nakpangaobo,NAKPANGA,Obo,nakpanga _ Obo,#N/A,,26.494639,5.403851,urban,,urban
233,bambitoobo,BAMBITO,Obo,bambito _ Obo,#N/A,,26.494639,5.403851,urban,,urban
234,motopiobo,MOTOPI,Obo,motopi _ Obo,#N/A,,26.494639,5.403851,urban,,urban
235,bogama1kabo,Bogama1,Kabo,bogama1 _ Kabo,Rural,,,,,,Rural
236,sitec(citedelapaix)kabo,Site c(blocA),Kabo,sitec(citedelapaix) _ Kabo,#N/A,,18.626926,7.695467,urban,site,urban
237,kemngoyeyekabo,Kemngoyeye,Kabo,kemngoyeye _ Kabo,Rural,,,,,,Rural
238,ndimba1kabo,Ndimba1,Kabo,ndimba1 _ Kabo,Rural,,,,,,Rural
239,ngonikirakabo,Sogniki,Kabo,ngonikira _ Kabo,#N/A,,18.516073,7.569745,rural,pk 11 depuis Kabo mais pas de coord gps precise,rural
240,farazalabkabo,Farazala,Kabo,farazalab _ Kabo,#N/A,,18.74324,7.38043,rural,,rural
241,kava2kabo,Kava2,Kabo,kava2 _ Kabo,Urban,,,,,,Urban
242,goyakouango,Banga 2,Kouango,goya _ Kouango,#N/A,,20.696724,4.935246,rural,,rural
243,borotokouango,Boroto,Kouango,boroto _ Kouango,Rural,,,,,,Rural
244,bombala2kouango,Bombala 2,Kouango,bombala2 _ Kouango,Urban,,,,,,Urban
245,gbadakouango,Gbada,Kouango,gbada _ Kouango,Rural,,,,,,Rural
246,gbagomarakouango,Gbagomara,Kouango,gbagomara _ Kouango,Rural,,,,,,Rural
247,lindaokouango,Lindao,Kouango,lindao _ Kouango,#N/A,,20.0335,4.9785,rural,,rural
248,doungba4kouango,Doungba 4,Kouango,doungba4 _ Kouango,Rural,,,,,,Rural
249,camp-coupeurskouango,Camp_kouper,Kouango,camp-coupeurs _ Kouango,Rural,,,,,,Rural
250,yoloungououango,Youloungou,Ouango,yoloungou _ Ouango,Rural,,,,,,Rural
251,boboouango,Bobo,Ouango,bobo _ Ouango,Urban,,,,,,Urban
252,ndogbaouango,Ndogba,Ouango,ndogba _ Ouango,Urban,,,,,,Urban
253,yenziaouango,Yenzia,Ouango,yenzia _ Ouango,Rural,,,,,,Rural
254,mbambaleouango,Mbambale,Ouango,mbambale _ Ouango,Rural,,,,,,Rural
255,basse-kottoouango,Basse Kotto,Ouango,basse-kotto _ Ouango,Rural,,,,,,Rural
256,amanigambo,Amani,Gambo,amani _ Gambo,Rural,,,,,,Rural
257,baogambo,Bao,Gambo,bao _ Gambo,Rural,,,,,,Rural
258,mbringagambo,Mbringa,Gambo,mbringa _ Gambo,Rural,,,,,,Rural
259,babalagambo,Babala,Gambo,babala _ Gambo,Rural,,,,,,Rural
260,mbangogambo,Mbango,Gambo,mbango _ Gambo,Rural,,,,,,Rural
261,baguinigambo,Baguini,Gambo,baguini _ Gambo,Rural,,,,,,Rural
262,socadagambo,Socada,Gambo,socada _ Gambo,Rural,,,,,,Rural
263,bogodoketenangha-boguila,Bogodo Kete,Nangha_Boguila,bogodokete _ Nangha-Boguila,Rural,,,,,,Rural
264,boguila-ketenangha-boguila,Boguila-Kete,Nangha_Boguila,boguila-kete _ Nangha-Boguila,Rural,,,,,,Rural
