vars,repeat_var,disaggregation,rank_1,rank_2,rank_3,percent_1,percent_2,percent_3
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Kemo,hote,financier,manque_staff,autre,22.0%,13.6%,12.8%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Kemo,deplaces_FA,financier,autre,manque_staff,22.8%,12.9%,10.2%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Haut_Mbomou,deplaces_site,financier,non_fonct,acces_dangereux,20.1%,20.1%,14.3%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Haut_Mbomou,deplaces_FA,financier,logistique,non_fonct,28.3%,18.7%,13.8%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Haut_Mbomou,hote,financier,autre,logistique,26.1%,23.8%,9.54%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Haute_Kotto,deplaces_FA,financier,aucune,logistique,18.5%,17.4%,16.0%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Haute_Kotto,hote,aucune,financier,logistique,19.1%,15.0%,10.1%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Haute_Kotto,retournes,financier,logistique,acces_dangereux,20.7%,18.9%,12.7%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Haute_Kotto,deplaces_site,non_fonct,financier,acces_dangereux,22.9%,21.3%,19.3%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Lobaye,deplaces_FA,financier,autre,logistique,25.8%,17.7%,11.3%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Lobaye,hote,financier,autre,logistique,25.4%,11.2%,9.73%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Haut_Mbomou,retournes,financier,non_fonct,acces_dangereux,29.1%,22.8%,15.1%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Mambere_Kadei,retournes,financier,autre,manque_staff,26.5%,15.8%,12.2%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Sangha_Mbaere,hote,aucune,autre,financier,16.9%,16.3%,16.1%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Sangha_Mbaere,deplaces_FA,autre,aucune,financier,22.4%,20.3%,18.9%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bamingui_Bangoran,retournes,cash_infra,cash_hygiene,cash_recipient_eau,25.9%,25.5%,21.8%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bamingui_Bangoran,hote,cash_recipient_eau,cash_hygiene,cash_infra,25.4%,19.4%,15.1%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bamingui_Bangoran,deplaces_site,cash_infra,prov_infra_eau,cash_recipient_eau,23.4%,20.9%,15.4%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bamingui_Bangoran,deplaces_FA,cash_recipient_eau,cash_infra,cash_hygiene,32.6%,29.8%,28.2%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Ouham,hote,cash_recipient_eau,cash_infra,cash_hygiene,22.4%,18.6%,16.9%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Ouham,deplaces_site,cash_recipient_eau,cash_hygiene,prov_recipient,23.6%,16.6%,15.9%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Ouham,deplaces_FA,cash_recipient_eau,cash_infra,cash_hygiene,26.7%,23.6%,19.7%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Ouham,retournes,cash_recipient_eau,cash_hygiene,cash_infra,33.1%,26.1%,15.1%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Basse_Kotto,deplaces_site,cash_hygiene,cash_recipient_eau,prov_recipient,23.3%,22.0%,18.3%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Basse_Kotto,deplaces_FA,cash_recipient_eau,prov_recipient,prov_infra_eau,20.2%,19.2%,19.0%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Basse_Kotto,hote,prov_recipient,cash_recipient_eau,cash_infra,26.5%,14.5%,13.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Basse_Kotto,retournes,prov_infra_sanit,prov_recipient,prov_hygiene,23.5%,19.9%,19.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Vakaga,hote,cash_infra,prov_infra_eau,prov_recipient,22.6%,17.7%,15.7%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Vakaga,deplaces_FA,cash_hygiene,cash_infra,cash_recipient_eau,21.4%,20.3%,15.6%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bangui,hote,cash_infra,cash_recipient_eau,prov_infra_eau,14.3%,13.8%,13.1%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bangui,retournes,cash_recipient_eau,cash_infra,prov_recipient,20.7%,18.2%,13.2%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bangui,deplaces_FA,cash_recipient_eau,cash_infra,cash_hygiene,21.3%,17.0%,12.9%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Ouaka,deplaces_site,cash_recipient_eau,prov_recipient,cash_hygiene,19.6%,17.3%,17.0%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Ouaka,deplaces_FA,cash_recipient_eau,cash_hygiene,cash_infra,27.3%,22.9%,18.9%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Ouaka,hote,prov_recipient,prov_infra_eau,cash_recipient_eau,23.3%,21.9%,12.2%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Ouaka,retournes,prov_recipient,cash_recipient_eau,conseils_assainiss,28.1%,23.4%,14.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Nana_Mambere,hote,prov_recipient,cash_hygiene,cash_recipient_eau,21.2%,18.7%,15.9%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Nana_Mambere,deplaces_FA,prov_infra_eau,prov_recipient,cash_recipient_eau,18.9%,16.7%,16.2%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Nana_Mambere,retournes,cash_recipient_eau,cash_hygiene,cash_infra,24.9%,23.3%,16.7%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Ouham_Pende,hote,prov_recipient,cash_recipient_eau,cash_infra,21.3%,21.0%,17.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Ouham_Pende,deplaces_FA,cash_hygiene,prov_recipient,prov_infra_eau,23.4%,20.4%,14.2%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Ouham_Pende,retournes,prov_recipient,cash_hygiene,cash_recipient_eau,23.5%,18.3%,16.6%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Nana_Gribizi,deplaces_site,cash_hygiene,cash_recipient_eau,cash_infra,23.4%,23.3%,19.0%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Nana_Gribizi,hote,cash_recipient_eau,cash_hygiene,cash_infra,30.6%,28.4%,19.6%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Nana_Gribizi,deplaces_FA,cash_recipient_eau,cash_infra,cash_hygiene,27.2%,21.9%,17.7%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Nana_Gribizi,retournes,cash_hygiene,cash_recipient_eau,cash_infra,30.0%,26.7%,15.9%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Mbomou,hote,cash_recipient_eau,cash_infra,cash_hygiene,27.3%,21.8%,17.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Mbomou,retournes,cash_recipient_eau,cash_infra,cash_hygiene,34.9%,22.9%,20.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Mbomou,deplaces_site,cash_recipient_eau,cash_infra,cash_hygiene,32.7%,20.9%,15.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Mbomou,deplaces_FA,cash_recipient_eau,cash_infra,cash_hygiene,30.4%,18.8%,13.9%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Mambere_Kadei,deplaces_FA,cash_recipient_eau,cash_infra,cash_hygiene,23.7%,23.7%,16.9%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Mambere_Kadei,hote,cash_recipient_eau,cash_infra,cash_hygiene,24.8%,18.8%,18.0%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Ombella_MPoko,deplaces_FA,cash_recipient_eau,cash_infra,prov_recipient,20.5%,17.6%,16.0%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Ombella_MPoko,hote,cash_recipient_eau,prov_infra_eau,prov_recipient,19.3%,15.8%,15.8%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Kemo,hote,cash_recipient_eau,cash_infra,cash_hygiene,17.1%,15.9%,13.6%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Kemo,deplaces_FA,cash_recipient_eau,cash_infra,prov_recipient,22.7%,18.4%,14.7%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Haut_Mbomou,deplaces_site,cash_infra,cash_recipient_eau,prov_recipient,28.3%,19.6%,12.9%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Haut_Mbomou,deplaces_FA,prov_infra_eau,prov_infra_sanit,prov_hygiene,19.2%,16.6%,16.1%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Haut_Mbomou,hote,cash_hygiene,cash_recipient_eau,cash_infra,17.2%,16.7%,14.8%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Haute_Kotto,deplaces_FA,cash_hygiene,prov_recipient,prov_infra_sanit,20.2%,14.3%,11.7%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Haute_Kotto,hote,cash_infra,prov_infra_eau,cash_hygiene,21.9%,18.1%,15.6%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Haute_Kotto,retournes,cash_hygiene,prov_infra_eau,cash_recipient_eau,20.4%,19.7%,14.2%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Haute_Kotto,deplaces_site,cash_recipient_eau,cash_infra,prov_infra_sanit,23.4%,22.0%,16.1%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Lobaye,deplaces_FA,cash_infra,cash_recipient_eau,prov_infra_eau,22.1%,19.6%,15.2%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Lobaye,hote,cash_recipient_eau,cash_infra,prov_recipient,23.1%,18.1%,14.7%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Haut_Mbomou,retournes,cash_hygiene,cash_infra,cash_recipient_eau,25.4%,23.7%,16.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Mambere_Kadei,retournes,cash_recipient_eau,cash_hygiene,prov_infra_eau,26.6%,20.2%,13.6%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Sangha_Mbaere,hote,cash_infra,cash_recipient_eau,prov_recipient,24.2%,21.8%,20.4%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Sangha_Mbaere,deplaces_FA,cash_recipient_eau,cash_infra,prov_recipient,30.7%,23.5%,16.5%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bamingui_Bangoran,retournes,agric,petit_commerce,petits_metiers,29.3%,24.5%,15.6%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bamingui_Bangoran,hote,agric,petit_commerce,petits_metiers,29.4%,22.4%,14.9%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bamingui_Bangoran,deplaces_site,agric,petit_commerce,jtt_agric,29.6%,16.1%,15.7%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bamingui_Bangoran,deplaces_FA,agric,petits_metiers,petit_commerce,37.8%,22.8%,21.7%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Ouham,hote,agric,petit_commerce,jtt_agric,34.9%,17.3%,13.0%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Ouham,deplaces_site,agric,jtt_agric,petit_commerce,22.4%,18.4%,18.2%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Ouham,deplaces_FA,agric,pche,jtt_agric,41.6%,23.3%,13.7%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Ouham,retournes,agric,petit_commerce,jtt_agric,34.9%,21.9%,11.0%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Basse_Kotto,deplaces_site,petit_commerce,agric,jtt_agric,23.4%,22.1%,12.7%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Basse_Kotto,deplaces_FA,agric,pche,petit_commerce,34.9%,17.8%,14.2%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Basse_Kotto,hote,agric,pche,petit_commerce,35.2%,19.7%,19.4%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Basse_Kotto,retournes,agric,pche,petit_commerce,35.4%,20.8%,11.7%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Vakaga,hote,agric,jtt_non_agric,petit_commerce,34.5%,11.9%,11.2%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Vakaga,deplaces_FA,agric,elevage,pche,32.0%,12.8%,11.3%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bangui,hote,petit_commerce,nsp,petits_metiers,30.6%,20.7%,10.1%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bangui,retournes,petit_commerce,nsp,petits_metiers,36.3%,18.0%,9.56%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bangui,deplaces_FA,petit_commerce,nsp,petits_metiers,32.5%,22.4%,9.60%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Ouaka,deplaces_site,petit_commerce,agric,autre,23.1%,18.5%,10.4%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Ouaka,deplaces_FA,petit_commerce,agric,jtt_non_agric,19.7%,13.9%,12.9%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Ouaka,hote,agric,petit_commerce,pche,36.4%,21.0%,10.1%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Ouaka,retournes,petit_commerce,agric,pche,41.3%,23.9%,10.5%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Nana_Mambere,hote,agric,petit_commerce,jtt_agric,36.3%,17.9%,13.1%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Nana_Mambere,deplaces_FA,agric,petit_commerce,jtt_agric,32.1%,19.5%,7.38%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Nana_Mambere,retournes,agric,petit_commerce,jtt_agric,29.1%,24.0%,8.01%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Ouham_Pende,hote,agric,petit_commerce,jtt_agric,37.7%,20.1%,11.9%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Ouham_Pende,deplaces_FA,agric,petit_commerce,jtt_agric,31.8%,26.1%,14.6%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Ouham_Pende,retournes,agric,petit_commerce,jtt_agric,38.5%,21.5%,15.2%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Nana_Gribizi,deplaces_site,petit_commerce,agric,nsp,22.4%,14.9%,10.6%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Nana_Gribizi,hote,agric,petit_commerce,nsp,19.4%,17.4%,17.3%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Nana_Gribizi,deplaces_FA,petit_commerce,agric,nsp,26.5%,20.1%,12.5%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Nana_Gribizi,retournes,agric,pche,petit_commerce,34.3%,26.8%,21.4%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Mbomou,hote,agric,petit_commerce,pche,33.9%,20.5%,12.5%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Mbomou,retournes,agric,petit_commerce,pche,34.3%,20.2%,18.7%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Mbomou,deplaces_site,agric,jtt_agric,petit_commerce,28.2%,24.6%,18.5%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Mbomou,deplaces_FA,agric,petit_commerce,jtt_agric,33.0%,25.7%,16.9%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Mambere_Kadei,deplaces_FA,agric,petit_commerce,autre,24.9%,16.2%,13.8%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Mambere_Kadei,hote,agric,petit_commerce,pche,33.3%,19.5%,17.8%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Ombella_MPoko,deplaces_FA,agric,petit_commerce,nsp,33.2%,21.8%,10.8%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Ombella_MPoko,hote,agric,petit_commerce,nsp,31.1%,26.8%,11.1%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Kemo,hote,agric,pche,petit_commerce,40.5%,20.4%,11.5%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Kemo,deplaces_FA,agric,jtt_agric,pche,34.6%,15.6%,12.6%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Haut_Mbomou,deplaces_site,agric,jtt_agric,petit_commerce,19.2%,18.3%,14.1%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Haut_Mbomou,deplaces_FA,petit_commerce,agric,jtt_agric,20.1%,16.7%,16.5%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Haut_Mbomou,hote,petit_commerce,agric,jtt_agric,21.3%,20.1%,13.7%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Haute_Kotto,deplaces_FA,petit_commerce,pche,agric,20.4%,20.1%,12.7%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Haute_Kotto,hote,agric,petit_commerce,pche,22.9%,17.9%,17.3%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Haute_Kotto,retournes,petit_commerce,pche,agric,23.2%,17.1%,15.5%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Haute_Kotto,deplaces_site,petit_commerce,pche,agric,31.3%,18.8%,14.4%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Lobaye,deplaces_FA,agric,petit_commerce,pche,33.8%,23.4%,14.9%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Lobaye,hote,agric,petit_commerce,pche,36.7%,22.4%,13.6%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Haut_Mbomou,retournes,agric,jtt_agric,petit_commerce,50.4%,12.4%,9.25%
