vars,repeat_var,disaggregation,rank_1,rank_2,rank_3,percent_1,percent_2,percent_3
educ_6_reponse_1 educ_6_reponse_2 educ_6_reponse_3,admin_0,retournes,prov_fournitures,cash_frais,cash_nourriture,16.9%,15.9%,12.8%
educ_6_reponse_1 educ_6_reponse_2 educ_6_reponse_3,admin_0,hote,cash_frais,prov_fournitures,cash_fournitures,20.5%,17.4%,17.2%
educ_6_reponse_1 educ_6_reponse_2 educ_6_reponse_3,admin_0,deplaces_site,cash_fournitures,cash_frais,cash_livres,25.2%,23.3%,13.7%
educ_6_reponse_1 educ_6_reponse_2 educ_6_reponse_3,admin_0,deplaces_FA,cash_frais,cash_fournitures,prov_fournitures,23.6%,18.6%,12.2%
rep_souhaitee_1 rep_souhaitee_2 rep_souhaitee_3,admin_0,retournes,secal,wash,sante,29.7%,19.8%,19.5%
rep_souhaitee_1 rep_souhaitee_2 rep_souhaitee_3,admin_0,hote,secal,wash,sante,26.3%,22.7%,22.2%
rep_souhaitee_1 rep_souhaitee_2 rep_souhaitee_3,admin_0,deplaces_site,secal,wash,nfi,30.0%,22.5%,18.7%
rep_souhaitee_1 rep_souhaitee_2 rep_souhaitee_3,admin_0,deplaces_FA,secal,wash,sante,26.4%,21.3%,20.0%
secal_13_reponse_1 secal_13_reponse_2 secal_13_reponse_3,admin_0,retournes,cash_nourrit,cash_intrant_agri,cash_nfi,23.5%,23.4%,13.6%
secal_13_reponse_1 secal_13_reponse_2 secal_13_reponse_3,admin_0,hote,cash_nourrit,cash_intrant_agri,cash_nfi,21.6%,17.9%,14.9%
secal_13_reponse_1 secal_13_reponse_2 secal_13_reponse_3,admin_0,deplaces_site,cash_nourrit,cash_intrant_agri,cash_nfi,25.2%,18.6%,15.9%
secal_13_reponse_1 secal_13_reponse_2 secal_13_reponse_3,admin_0,deplaces_FA,cash_nourrit,cash_nfi,cash_intrant_agri,23.8%,19.2%,14.6%
sante_7_reponse_1 sante_7_reponse_2 sante_7_reponse_3,admin_0,retournes,prov_medicament,cash_frais_med,acces_staff_cs,19.1%,17.8%,14.7%
sante_7_reponse_1 sante_7_reponse_2 sante_7_reponse_3,admin_0,hote,prov_medicament,cash_frais_med,acces_staff_cs,20.2%,16.3%,13.6%
sante_7_reponse_1 sante_7_reponse_2 sante_7_reponse_3,admin_0,deplaces_site,cash_frais_med,prov_medicament,acces_staff_cs,18.8%,18.3%,12.7%
sante_7_reponse_1 sante_7_reponse_2 sante_7_reponse_3,admin_0,deplaces_FA,cash_frais_med,prov_medicament,acces_staff_cs,17.0%,16.6%,16.0%
wash_15_insuff_raisons_1 wash_15_insuff_raisons_2 wash_15_insuff_raisons_3,admin_0,retournes,quantite_insuff,hygiene_insuff,qualite_insuff,30.5%,19.8%,16.4%
wash_15_insuff_raisons_1 wash_15_insuff_raisons_2 wash_15_insuff_raisons_3,admin_0,hote,quantite_insuff,hygiene_insuff,mixte,24.1%,23.6%,16.4%
wash_15_insuff_raisons_1 wash_15_insuff_raisons_2 wash_15_insuff_raisons_3,admin_0,deplaces_site,quantite_insuff,hygiene_insuff,qualite_insuff,33.9%,21.1%,15.6%
wash_15_insuff_raisons_1 wash_15_insuff_raisons_2 wash_15_insuff_raisons_3,admin_0,deplaces_FA,quantite_insuff,hygiene_insuff,mixte,24.7%,23.6%,17.5%
wash_21_wash_inquiet_1 wash_21_wash_inquiet_2 wash_21_wash_inquiet_3,admin_0,retournes,eau,sanitaire,environment,31.3%,24.7%,21.0%
wash_21_wash_inquiet_1 wash_21_wash_inquiet_2 wash_21_wash_inquiet_3,admin_0,hote,eau,sanitaire,environment,34.4%,23.2%,20.0%
wash_21_wash_inquiet_1 wash_21_wash_inquiet_2 wash_21_wash_inquiet_3,admin_0,deplaces_site,eau,sanitaire,environment,30.2%,24.6%,21.2%
wash_21_wash_inquiet_1 wash_21_wash_inquiet_2 wash_21_wash_inquiet_3,admin_0,deplaces_FA,eau,sanitaire,environment,34.2%,23.1%,20.8%
