vars,repeat_var,disaggregation,rank_1,rank_2,rank_3,percent_1,percent_2,percent_3
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Rafai,,financier,autre,aucune,24.0%,19.6%,11.5%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Ngaoundaye,,financier,logistique,acces_dangereux,35.7%,15.6%,15.1%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Ippy,,financier,acces_dangereux,non_fonct,35.2%,23.8%,16.2%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Berberati,,financier,manque_staff,aucune,25.1%,15.1%,11.7%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Mbres,,financier,autre,logistique,23.5%,20.2%,15.2%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bimbo,,autre,acces_impossible,financier,21.0%,20.7%,18.5%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Grimari,,financier,logistique,autre,22.2%,11.4%,9.97%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Sibut,,financier,autre,manque_staff,25.5%,16.9%,16.0%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Ndjoukou,,financier,manque_staff,logistique,24.5%,13.7%,12.1%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Baboua,,financier,acces_dangereux,acces_impossible,15.0%,14.9%,14.8%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Abba,,financier,autre,acces_impossible,19.6%,13.5%,11.4%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Obo,,financier,autre,logistique,31.9%,19.2%,10.8%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Kabo,,financier,acces_dangereux,logistique,28.8%,14.4%,13.7%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Kouango,,financier,aucune,logistique,22.0%,16.4%,15.7%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Ouango,,financier,logistique,aucune,26.8%,17.4%,9.91%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Gambo,,financier,acces_dangereux,manque_staff,30.6%,10.6%,9.97%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Nangha_Boguila,,financier,acces_dangereux,non_fonct,43.5%,12.2%,10.6%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Damara,,financier,logistique,acces_dangereux,23.3%,13.7%,12.8%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bozoum,,financier,logistique,acces_dangereux,27.7%,14.4%,8.20%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bossemtele,,financier,logistique,autre,31.9%,16.8%,15.4%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Paoua,,financier,autre,manque_interet,18.4%,16.2%,15.6%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Dekoa,,financier,autre,aucune,19.0%,16.9%,10.8%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Mala,,financier,manque_staff,autre,19.1%,12.5%,12.3%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bria,,financier,aucune,logistique,17.8%,16.0%,13.6%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bakouma,,non_fonct,financier,manque_staff,26.9%,13.6%,11.4%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Boali,,financier,autre,logistique,23.1%,15.5%,13.7%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bamingui,,autre,non_fonct,financier,22.6%,13.7%,13.6%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Baoro,,autre,aucune,financier,21.4%,16.9%,16.8%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Mbaiki,,financier,autre,aucune,22.8%,11.0%,11.0%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Zangba,,financier,aucune,non_fonct,16.5%,15.2%,12.6%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Zemio,,financier,autre,non_fonct,17.8%,16.5%,14.7%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Batangafo,,aucune,manque_staff,autre,21.5%,16.5%,14.8%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Yaloke,,financier,autre,acces_impossible,27.7%,18.5%,10.6%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bossembele,,financier,autre,manque_staff,27.4%,17.4%,12.6%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Carnot,,financier,logistique,autre,17.4%,17.2%,10.7%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Gadzi,,manque_staff,autre,financier,19.9%,17.6%,15.7%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Gamboula,,manque_staff,financier,autre,26.4%,15.3%,14.6%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bambio,,financier,aucune,autre,20.3%,19.3%,13.9%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Boganda,,manque_staff,financier,autre,18.9%,17.5%,14.7%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Kembe,,financier,non_fonct,logistique,20.8%,19.0%,12.6%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Satema,,acces_dangereux,financier,autre,19.7%,19.3%,18.6%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Markounda,,financier,acces_dangereux,non_fonct,36.9%,17.0%,16.2%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Mongoumba,,financier,logistique,aucune,24.5%,15.2%,12.1%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Dede_Mokouba,,financier,aucune,autre,20.9%,17.0%,14.1%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Sosso_Nakombo,,autre,financier,aucune,24.8%,18.8%,17.7%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Nola,,financier,autre,aucune,18.5%,16.8%,13.5%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Boganangone,,financier,autre,aucune,25.1%,18.6%,11.6%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Boda,,financier,autre,logistique,34.9%,13.5%,12.9%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Amada_Gaza,,aucune,financier,autre,18.7%,18.2%,17.3%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bayanga,,aucune,financier,autre,21.1%,20.6%,17.2%
educ_5_ecole_acces_1 educ_5_ecole_acces_2 educ_5_ecole_acces_3,Bogangolo,,manque_staff,autre,financier,16.9%,15.2%,14.8%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Ndele,,cash_recipient_eau,cash_hygiene,cash_infra,23.7%,19.8%,14.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bouca,,prov_infra_eau,cash_infra,prov_infra_sanit,18.5%,16.3%,15.8%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Alindao,,prov_recipient,cash_recipient_eau,cash_infra,22.7%,18.0%,16.6%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Birao,,cash_infra,prov_infra_eau,prov_recipient,19.2%,18.5%,17.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bangui,,cash_recipient_eau,cash_infra,prov_infra_eau,15.4%,14.7%,12.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Mobaye,,prov_recipient,cash_hygiene,cash_recipient_eau,26.0%,19.4%,13.7%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bambari,,cash_hygiene,prov_recipient,cash_recipient_eau,21.3%,16.8%,16.4%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bouar,,prov_recipient,cash_hygiene,cash_recipient_eau,21.9%,21.2%,15.2%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bocaranga,,cash_recipient_eau,prov_recipient,cash_hygiene,21.6%,19.4%,18.9%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bossangoa,,cash_recipient_eau,cash_hygiene,cash_infra,26.5%,19.4%,17.8%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Kaga_Bandoro,,cash_recipient_eau,cash_hygiene,cash_infra,27.9%,27.7%,19.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Koui,,cash_recipient_eau,cash_hygiene,cash_infra,22.8%,21.2%,13.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bakala,,prov_infra_eau,prov_recipient,cash_recipient_eau,20.7%,19.8%,12.7%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bangassou,,cash_recipient_eau,cash_infra,cash_hygiene,29.7%,23.2%,16.0%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Nana_Bakassa,,cash_recipient_eau,cash_infra,cash_hygiene,24.7%,24.6%,13.6%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Rafai,,cash_hygiene,cash_recipient_eau,cash_infra,25.4%,24.6%,16.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Ngaoundaye,,prov_recipient,cash_recipient_eau,cash_infra,22.5%,19.8%,15.8%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Ippy,,prov_infra_eau,prov_recipient,cash_recipient_eau,19.1%,16.8%,15.1%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Berberati,,cash_recipient_eau,cash_infra,cash_hygiene,26.5%,21.0%,17.6%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Mbres,,cash_recipient_eau,cash_infra,cash_hygiene,26.9%,24.0%,17.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bimbo,,cash_recipient_eau,cash_infra,prov_infra_eau,21.5%,17.0%,14.7%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Grimari,,prov_recipient,prov_infra_eau,cash_recipient_eau,19.3%,18.2%,18.0%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Sibut,,cash_recipient_eau,cash_infra,cash_hygiene,17.5%,16.3%,16.0%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Ndjoukou,,cash_recipient_eau,cash_infra,cash_hygiene,21.4%,18.4%,15.3%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Baboua,,prov_recipient,prov_infra_eau,cash_recipient_eau,19.2%,17.2%,14.8%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Abba,,cash_infra,cash_recipient_eau,cash_hygiene,21.3%,20.0%,19.8%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Obo,,prov_infra_eau,cash_recipient_eau,cash_infra,18.7%,15.0%,14.8%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Kabo,,cash_recipient_eau,cash_infra,cash_hygiene,27.1%,17.7%,14.6%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Kouango,,prov_recipient,prov_infra_eau,prov_infra_sanit,25.9%,24.8%,12.4%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Ouango,,cash_recipient_eau,cash_infra,prov_recipient,29.5%,18.7%,16.2%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Gambo,,cash_recipient_eau,cash_infra,cash_hygiene,32.5%,20.9%,18.0%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Nangha_Boguila,,cash_recipient_eau,cash_hygiene,cash_infra,25.1%,20.3%,17.9%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Damara,,cash_infra,prov_recipient,cash_recipient_eau,16.9%,16.5%,15.6%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bozoum,,prov_recipient,cash_recipient_eau,prov_infra_eau,19.4%,17.0%,16.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bossemtele,,cash_recipient_eau,prov_recipient,prov_infra_eau,19.9%,18.6%,14.0%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Paoua,,prov_recipient,cash_recipient_eau,cash_hygiene,20.7%,18.2%,15.3%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Dekoa,,cash_recipient_eau,cash_infra,prov_recipient,17.2%,16.3%,12.8%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Mala,,prov_recipient,prov_infra_eau,cash_recipient_eau,20.2%,15.9%,15.1%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bria,,cash_infra,cash_hygiene,prov_infra_eau,17.9%,17.7%,16.2%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bakouma,,cash_recipient_eau,cash_hygiene,cash_infra,29.2%,23.2%,22.3%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Boali,,prov_infra_eau,cash_recipient_eau,prov_recipient,17.7%,17.7%,11.8%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bamingui,,cash_recipient_eau,cash_hygiene,cash_infra,28.9%,26.8%,21.3%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Baoro,,cash_recipient_eau,cash_hygiene,prov_recipient,23.5%,18.1%,16.0%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Mbaiki,,cash_recipient_eau,cash_infra,prov_infra_eau,20.1%,17.7%,15.6%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Zangba,,prov_recipient,prov_infra_sanit,prov_infra_eau,27.4%,18.0%,16.1%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Zemio,,cash_hygiene,prov_hygiene,prov_recipient,20.6%,15.2%,13.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Batangafo,,cash_recipient_eau,cash_hygiene,cash_infra,23.7%,20.8%,16.0%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Yaloke,,prov_recipient,prov_infra_eau,cash_recipient_eau,20.1%,19.2%,14.3%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bossembele,,prov_recipient,prov_infra_eau,cash_recipient_eau,21.6%,19.3%,13.3%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Carnot,,prov_recipient,cash_hygiene,cash_recipient_eau,20.7%,20.1%,20.1%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Gadzi,,cash_recipient_eau,cash_infra,cash_hygiene,30.1%,20.6%,14.3%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Gamboula,,cash_recipient_eau,cash_infra,prov_recipient,26.7%,20.3%,19.9%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bambio,,cash_recipient_eau,cash_infra,prov_infra_eau,27.4%,16.8%,14.6%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Boganda,,cash_recipient_eau,prov_recipient,cash_infra,29.1%,20.7%,20.6%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Kembe,,cash_recipient_eau,prov_recipient,cash_hygiene,22.7%,21.3%,17.2%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Satema,,cash_recipient_eau,cash_hygiene,prov_recipient,23.0%,17.2%,16.8%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Markounda,,cash_recipient_eau,cash_hygiene,cash_infra,28.8%,20.9%,19.8%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Mongoumba,,cash_infra,cash_recipient_eau,prov_infra_eau,22.2%,21.9%,16.4%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Dede_Mokouba,,cash_infra,cash_recipient_eau,prov_recipient,27.2%,26.8%,15.4%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Sosso_Nakombo,,cash_recipient_eau,cash_infra,cash_hygiene,28.0%,26.5%,21.1%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Nola,,cash_recipient_eau,cash_infra,prov_recipient,24.3%,23.2%,20.5%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Boganangone,,cash_recipient_eau,prov_recipient,cash_infra,25.4%,19.8%,18.8%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Boda,,cash_recipient_eau,cash_infra,prov_recipient,24.4%,18.1%,14.0%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Amada_Gaza,,cash_recipient_eau,cash_infra,cash_hygiene,32.7%,23.1%,15.1%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bayanga,,cash_recipient_eau,cash_infra,prov_recipient,26.5%,22.5%,19.6%
wash_22_wash_reponse_1 wash_22_wash_reponse_2 wash_22_wash_reponse_3,Bogangolo,,prov_infra_eau,prov_recipient,cash_infra,18.8%,16.5%,15.1%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Ndele,,agric,petit_commerce,petits_metiers,27.3%,22.3%,14.4%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bouca,,agric,pche,jtt_agric,45.8%,21.9%,13.5%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Alindao,,agric,petit_commerce,pche,30.4%,17.0%,15.6%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Birao,,agric,jtt_non_agric,petit_commerce,34.7%,11.7%,10.5%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bangui,,petit_commerce,nsp,petits_metiers,30.8%,20.7%,9.97%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Mobaye,,agric,pche,petit_commerce,31.7%,20.8%,20.1%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bambari,,agric,petit_commerce,autre,30.5%,26.7%,8.94%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bouar,,agric,petit_commerce,jtt_agric,33.3%,19.1%,12.8%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bocaranga,,agric,petit_commerce,jtt_agric,37.8%,20.1%,11.0%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bossangoa,,agric,petit_commerce,commerce,33.0%,17.1%,10.0%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Kaga_Bandoro,,agric,petit_commerce,pche,22.1%,21.8%,14.1%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Koui,,agric,petit_commerce,jtt_agric,28.0%,26.8%,16.0%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bakala,,agric,pche,petit_commerce,44.8%,19.7%,12.8%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bangassou,,agric,petit_commerce,pche,35.3%,25.5%,12.1%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Nana_Bakassa,,agric,petit_commerce,pche,48.1%,25.4%,10.8%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Rafai,,agric,petit_commerce,jtt_agric,38.1%,19.7%,18.3%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Ngaoundaye,,agric,petit_commerce,jtt_agric,37.9%,17.6%,12.5%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Ippy,,agric,pche,petit_commerce,39.2%,20.0%,17.8%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Berberati,,agric,petit_commerce,pche,34.9%,21.0%,15.1%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Mbres,,agric,pche,petit_commerce,41.1%,14.1%,13.8%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bimbo,,petit_commerce,agric,nsp,29.3%,29.0%,10.6%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Grimari,,agric,petit_commerce,jtt_agric,46.9%,13.5%,7.69%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Sibut,,agric,pche,jtt_agric,38.0%,20.3%,12.1%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Ndjoukou,,agric,pche,petit_commerce,38.1%,23.3%,11.3%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Baboua,,agric,petit_commerce,jtt_agric,39.4%,17.3%,11.1%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Abba,,agric,petit_commerce,jtt_agric,35.6%,12.2%,11.2%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Obo,,petit_commerce,agric,jtt_agric,25.6%,21.8%,13.8%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Kabo,,jtt_agric,agric,pche,22.1%,19.5%,18.3%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Kouango,,agric,petit_commerce,pche,35.4%,18.7%,12.2%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Ouango,,agric,petit_commerce,pche,36.4%,20.1%,16.8%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Gambo,,agric,jtt_agric,pche,28.7%,27.8%,10.4%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Nangha_Boguila,,agric,pche,petit_commerce,47.0%,18.4%,12.1%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Damara,,agric,petit_commerce,pche,37.0%,21.1%,12.4%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bozoum,,agric,petit_commerce,jtt_agric,35.0%,19.9%,13.6%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bossemtele,,agric,petit_commerce,jtt_agric,34.6%,16.9%,12.4%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Paoua,,agric,jtt_agric,petit_commerce,38.5%,15.1%,14.9%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Dekoa,,agric,pche,petit_commerce,41.3%,17.8%,12.4%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Mala,,agric,pche,jtt_agric,43.0%,13.5%,11.8%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bria,,petit_commerce,agric,pche,23.0%,18.7%,14.9%
mssc_2_source_rev_1 mssc_2_source_rev_2 mssc_2_source_rev_3,Bakouma,,agric,petit_commerce,pche,27.5%,22.8%,17.2%
